_id,author_name,cover_type,name,num_page,price,provider,publisher,release_year,size,url,weight
629cf7ab56a95be487d008fb,DK,Bìa mềm,"Under your feet - Dưới đôi bàn chân bạn - Đất, cát và ti tỉ thứ dưới lòng đất",,129.000,Đinh Tị Books,Hà Nội,2021, (cm),https://book365.vn/sach/1150045_under-your-feet-duoi-doi.html,500 (g)
629cf7ab56a95be487d00909,Aesop,Bìa cứng,Truyện Ngụ Ngôn E Dốp,88,98.000,Liên Việt Books,Văn học,2017,"19x26,5 (cm)",https://book365.vn/sach/19118_truyen-ngu-ngon-e-dop.html,300 (g)
629cf7ab56a95be487d0090c,"Joanne Taylore-Knowles, Steve Taylore-Knowles, Mickey Rogers",Bìa mềm,OpenMind 1: Student Book,,100.000,Công ty sách CDIMEX,MacMillan,2010, (cm),https://book365.vn/sach/1144241_openmind-1-student-book.html,35 (g)
629cf7ab56a95be487d00916,Murray Eldridge,Bìa mềm,Hiệu suất đỉnh cao,304,130.000,Saigon Books,Thế Giới,2019,20x15x3 (cm),https://book365.vn/sach/576262_hieu-suat-dinh-cao.html,380 (g)
629cf7ab56a95be487d00902,Alan Skinner,Bìa mềm,Sự Thật Về Hòn Đá Phù Thủy,416,98.000,FIRST NEWS,NXB Tổng Hợp TPHCM,,25x20x4 (cm),https://book365.vn/sach/1161580_su-that-ve-hon-da-phu.html,400 (g)
629cf7ab56a95be487d00900,Vũ Minh Khương,Bìa mềm,"Hãy trỗi dậy, Việt Nam! Let's rise, Vietnam!",588,190.000,Nhà xuất bản Tri thức,Tri thức,2020, (cm),https://book365.vn/sach/450547_hay-troi-day-viet-nam-.html,600 (g)
629cf7ab56a95be487d0090b,Anàlayo,Bìa mềm,Từ Bi Và Tính Không Trong Tư Tưởng Phật Giáo Sơ Kỳ,400,148.000,Liên Việt Books,Hồng Đức,,21x13.5x1 (cm),https://book365.vn/sach/1149420_tu-bi-va-tinh-khong-trong.html,400 (g)
629cf7ab56a95be487d00904,Sumie Ishii,Bìa mềm,Tư Duy Theo Khổ Giấy A3,,68.000,FIRST NEWS,NXB Tổng Hợp TPHCM,,25x20x3 (cm),https://book365.vn/sach/1162667_tu-duy-theo-kho-giay-a3.html,300 (g)
629cf7ab56a95be487d008fa,Dương Dương tuyển soạn,Bìa mềm,Nguyên Hồng tuyển tập,312,62.000,Liên Việt Books,Văn Học,,20.5x13x1 (cm),https://book365.vn/sach/1162611_nguyen-hong-tuyen-tap.html,300 (g)
629cf7ab56a95be487d00910,Anam Thubten,Bìa mềm,Sống an lạc trong từng khoảnh khắc,184,76.000,Liên Việt Books,Hồng Đức,2018,21x13.5x2 (cm),https://book365.vn/sach/892447_song-an-lac-trong-tung-khoanh.html,200 (g)
629cf7ab56a95be487d008fd,KARYL MCBRIDE,Bìa mềm,Liệu Tôi Có Bao Giờ Đủ Tốt,276,149.000,MaiHaBooks,	Nhà Xuất Bản Phụ Nữ Việt Nam,2022,16x24x3 (cm),https://book365.vn/sach/1155263_lieu-toi-co-bao-gio-du.html,1000 (g)
629cf7ab56a95be487d00914,Thi Nại Am,Bìa mềm,TRUYỆN TRANH LIÊN HOÀN HỌA THỦY HỬ TRỌN BỘ 20 QUYỂN,,968.000,Công ty TNHH MTV Dịch Vụ Văn Hoá Khang Việt,văn học,2022, (cm),https://book365.vn/sach/1141088_truyen-tranh-lien-hoan-hoa.html,2500 (g)
